################################################
# ITK-SnAP Label Description File
# File format: 
# IDX   -R-  -G-  -B-  -A--  VIS MSH  LABEL
# Fields: 
#    IDX:   Zero-based index 
#    -R-:   Red color component (0..255)
#    -G-:   Green color component (0..255)
#    -B-:   Blue color component (0..255)
#    -A-:   Label transparency (0.00 .. 1.00)
#    VIS:   Label visibility (0 or 1)
#    IDX:   Label mesh visibility (0 or 1)
#  LABEL:   Label description 
#
# Valid Label Ranges:
#           Bones:   1 to 80
#   Miscellaneous:  81 to 90
#       Int Calib:  91 to 110
# Mindways Model3: 111 to 120
#        B-MAS200: 121 to 130
#
# Hints:
# If you need to add labels, use the color maps
#    available at the bottom to create unique colors.
# Comment out labels you don't want showing in
#    ITK-Snap using '#'.
################################################
    0     0    0    0        0  0  0    "Clear Label"
# Bones
    1   255    0    0        1  1  1    "Femur Right"
    2     0  255    0        1  1  1    "Femur Left"
    3     0    0  255        1  1  1    "Pelvis Right"
    4   255  255    0        1  1  1    "Pelvis Left"
    5     0  255  255        1  1  1    "Sacrum"
    6   255    0  255        1  1  1    "L5"
    7   255  239  213        1  1  1    "L4"
    8     0    0  205        1  1  1    "L3"
    9   205  133   63        1  1  1    "L2"
   10   210  180  140        1  1  1    "L1"
   11     0  139  139        1  1  1    "T12"
   12   224  255  255        1  1  1    "T11"
   13    72  209  204        1  1  1    "T10"
   14   176  224  230        1  1  1    "T9"
   15   100  149  237        1  1  1    "T8"
   16   173  216  230        1  1  1    "Radius Right"
   17     0    0  139        1  1  1    "Radius Left"
   18   139   69   19        1  1  1    "Ulna Right"
   19    72   61  139        1  1  1    "Ulna Left"
   20   100  149  237        1  1  1    "Humerus Right"
   21   153   50  204        1  1  1    "Humerus Left"
   22   147  112  219        1  1  1    "Tibia Right"
   23   153    0  204        1  1  1    "Tibia Left"
   24   216  191  216        1  1  1    "Fibula Right"
   25   255    0  255        1  1  1    "Fibula Left"
   26   219  112  147        1  1  1    "Patella Right"
   27   255  182  193        1  1  1    "Patella Left"
   28   245  245  220        1  1  1    "Calcaneus Right"
   29   154  205   50        1  1  1    "Calcaneus Left"
   30   224  255  255        1  1  1    "Navicular Right"
   31     0  206  209        1  1  1    "Navicular Left"
   32   138   43  226        1  1  1    "Talus Right"
   33   176  224  230        1  1  1    "Talus Left"
# Miscellaneous   
   81   192  192  192        1  1  1    "Not bone"
# Internal Calibration
   91   128    0    0        1  1  1    "Adipose"
   92   128  128    0        1  1  1    "Air"
   93     0  128    0        1  1  1    "Blood"
   94   128    0  128        1  1  1    "Cortical Bone"
   95     0  128  128        1  1  1    "Skeletal Muscle"
# Mindways Model 3 CT
  111   255    0    0        1  1  1    "Rod A - Low K2HPO4"
  112     0  255    0        1  1  1    "Rod B"
  113     0    0  255        1  1  1    "Rod C"
  114   255    0  255        1  1  1    "Rod D"
  115     0  255  255        1  1  1    "Rod E - High K2HPO4"
# B-MAS200
  121   255    0    0        1  1  1    "Rod A -   0 mg/cc CHA"
  122     0  255    0        1  1  1    "Rod B -  50 mg/cc CHA"
  123     0    0  255        1  1  1    "Rod C - 100 mg/cc CHA"
  124   255  255    0        1  1  1    "Rod D - 150 mg/cc CHA"
  125     0  255  255        1  1  1    "Rod E - 200 mg/cc CHA"
# Mindways Model 3 QA
  131   219  112  147        1  1  1    "Rod A - Low K2HPO4"
  132   255  182  193        1  1  1    "Rod B"
  133   245  245  220        1  1  1    "Rod C"
